idx,lon,lat,alt,tz
0,-180.0,-90.0,2771.0,Antarctica/McMurdo
1,-178.75,-90.0,2771.0,Antarctica/McMurdo
2,-177.5,-90.0,2771.0,Antarctica/McMurdo
3,-176.25,-90.0,2771.0,Antarctica/McMurdo
4,-175.0,-90.0,2771.0,Antarctica/McMurdo
5,-173.75,-90.0,2771.0,Antarctica/McMurdo
6,-172.5,-90.0,2771.0,Antarctica/McMurdo
7,-171.25,-90.0,2771.0,Antarctica/McMurdo
8,-170.0,-90.0,2771.0,Antarctica/McMurdo
9,-168.75,-90.0,2771.0,Antarctica/McMurdo
10,-167.5,-90.0,2771.0,Antarctica/McMurdo
11,-166.25,-90.0,2771.0,Antarctica/McMurdo
12,-165.0,-90.0,2771.0,Antarctica/McMurdo
13,-163.75,-90.0,2771.0,Antarctica/McMurdo
14,-162.5,-90.0,2771.0,Antarctica/McMurdo
15,-161.25,-90.0,2771.0,Antarctica/McMurdo
16,-160.0,-90.0,2771.0,Antarctica/McMurdo
17,-158.75,-90.0,2771.0,Antarctica/McMurdo
18,-157.5,-90.0,2771.0,Antarctica/McMurdo
19,-156.25,-90.0,2771.0,Antarctica/McMurdo
20,-155.0,-90.0,2771.0,Antarctica/McMurdo
21,-153.75,-90.0,2771.0,Antarctica/McMurdo
22,-152.5,-90.0,2771.0,Antarctica/McMurdo
23,-151.25,-90.0,2771.0,Antarctica/McMurdo
24,-150.0,-90.0,2771.0,Antarctica/McMurdo
25,-148.75,-90.0,2771.0,Antarctica/McMurdo
26,-147.5,-90.0,2771.0,Antarctica/McMurdo
27,-146.25,-90.0,2771.0,Antarctica/McMurdo
28,-145.0,-90.0,2771.0,Antarctica/McMurdo
29,-143.75,-90.0,2771.0,Antarctica/McMurdo
30,-142.5,-90.0,2771.0,Antarctica/McMurdo
31,-141.25,-90.0,2771.0,Antarctica/McMurdo
32,-140.0,-90.0,2771.0,Antarctica/McMurdo
33,-138.75,-90.0,2771.0,Antarctica/McMurdo
34,-137.5,-90.0,2771.0,Antarctica/McMurdo
35,-136.25,-90.0,2771.0,Antarctica/McMurdo
36,-135.0,-90.0,2771.0,Antarctica/McMurdo
37,-133.75,-90.0,2771.0,Antarctica/McMurdo
38,-132.5,-90.0,2771.0,Antarctica/McMurdo
39,-131.25,-90.0,2771.0,Antarctica/McMurdo
40,-130.0,-90.0,2771.0,Antarctica/McMurdo
41,-128.75,-90.0,2771.0,Antarctica/McMurdo
42,-127.5,-90.0,2771.0,Antarctica/McMurdo
43,-126.25,-90.0,2771.0,Antarctica/McMurdo
44,-125.0,-90.0,2771.0,Antarctica/McMurdo
45,-123.75,-90.0,2771.0,Antarctica/McMurdo
46,-122.5,-90.0,2771.0,Antarctica/McMurdo
47,-121.25,-90.0,2771.0,Antarctica/McMurdo
48,-120.0,-90.0,2771.0,Antarctica/McMurdo
49,-118.75,-90.0,2771.0,Antarctica/McMurdo
50,-117.5,-90.0,2771.0,Antarctica/McMurdo
51,-116.25,-90.0,2771.0,Antarctica/McMurdo
52,-115.0,-90.0,2771.0,Antarctica/McMurdo
