lon,lat,zone
0.0,-90.0,-12.0
1.25,-90.0,-12.0
2.5,-90.0,-12.0
3.75,-90.0,-12.0
5.0,-90.0,-12.0
6.25,-90.0,-12.0
7.5,-90.0,-11.0
8.75,-90.0,-11.0
10.0,-90.0,-11.0
11.25,-90.0,-11.0
12.5,-90.0,-11.0
13.75,-90.0,-11.0
15.0,-90.0,-11.0
16.25,-90.0,-11.0
17.5,-90.0,-11.0
18.75,-90.0,-11.0
20.0,-90.0,-11.0
21.25,-90.0,-11.0
22.5,-90.0,-10.0
23.75,-90.0,-10.0
25.0,-90.0,-10.0
26.25,-90.0,-10.0
27.5,-90.0,-10.0
28.75,-90.0,-10.0
30.0,-90.0,-10.0
31.25,-90.0,-10.0
32.5,-90.0,-10.0
33.75,-90.0,-10.0
35.0,-90.0,-10.0
36.25,-90.0,-10.0
37.5,-90.0,-9.0
38.75,-90.0,-9.0
40.0,-90.0,-9.0
41.25,-90.0,-9.0
42.5,-90.0,-9.0
43.75,-90.0,-9.0
45.0,-90.0,-9.0
46.25,-90.0,-9.0
47.5,-90.0,-9.0
48.75,-90.0,-9.0
50.0,-90.0,-9.0
51.25,-90.0,-9.0
52.5,-90.0,-8.0
53.75,-90.0,-8.0
55.0,-90.0,-8.0
56.25,-90.0,-8.0
57.5,-90.0,-8.0
58.75,-90.0,-8.0
60.0,-90.0,-8.0
61.25,-90.0,-8.0
62.5,-90.0,-8.0
63.75,-90.0,-8.0
65.0,-90.0,-8.0
66.25,-90.0,-8.0
67.5,-90.0,-7.0
68.75,-90.0,-7.0
70.0,-90.0,-7.0
71.25,-90.0,-7.0
72.5,-90.0,-7.0
73.75,-90.0,-7.0
75.0,-90.0,-7.0
76.25,-90.0,-7.0
77.5,-90.0,-7.0
78.75,-90.0,-7.0
80.0,-90.0,-7.0
81.25,-90.0,-7.0
82.5,-90.0,-6.0
83.75,-90.0,-6.0
85.0,-90.0,-6.0
86.25,-90.0,-6.0
87.5,-90.0,-6.0
88.75,-90.0,-6.0
90.0,-90.0,-6.0
91.25,-90.0,-6.0
92.5,-90.0,-6.0
93.75,-90.0,-6.0
95.0,-90.0,-6.0
96.25,-90.0,-6.0
97.5,-90.0,-6.0
98.75,-90.0,-5.0
100.0,-90.0,-5.0
101.25,-90.0,-5.0
102.5,-90.0,-5.0
103.75,-90.0,-5.0
105.0,-90.0,-5.0
106.25,-90.0,-5.0
107.5,-90.0,-5.0
108.75,-90.0,-5.0
110.0,-90.0,-5.0
111.25,-90.0,-5.0
112.5,-90.0,-5.0
113.75,-90.0,-4.0
115.0,-90.0,-4.0
116.25,-90.0,-4.0
117.5,-90.0,-4.0
118.75,-90.0,-4.0
120.0,-90.0,-4.0
121.25,-90.0,-4.0
122.5,-90.0,-4.0
123.75,-90.0,-4.0
125.0,-90.0,-4.0
126.25,-90.0,-4.0
127.5,-90.0,-3.0
128.75,-90.0,-3.0
130.0,-90.0,-3.0
131.25,-90.0,-3.0
132.5,-90.0,-3.0
133.75,-90.0,-3.0
135.0,-90.0,-3.0
136.25,-90.0,-3.0
137.5,-90.0,-3.0
138.75,-90.0,-3.0
140.0,-90.0,-3.0
141.25,-90.0,-3.0
142.5,-90.0,-2.0
143.75,-90.0,-2.0
145.0,-90.0,-2.0
146.25,-90.0,-2.0
147.5,-90.0,-2.0
148.75,-90.0,-2.0
150.0,-90.0,-2.0
151.25,-90.0,-2.0
152.5,-90.0,-2.0
153.75,-90.0,-2.0
155.0,-90.0,-2.0
156.25,-90.0,-2.0
157.5,-90.0,-1.0
158.75,-90.0,-1.0
160.0,-90.0,-1.0
161.25,-90.0,-1.0
162.5,-90.0,-1.0
163.75,-90.0,-1.0
165.0,-90.0,-1.0
166.25,-90.0,-1.0
167.5,-90.0,-1.0
168.75,-90.0,-1.0
170.0,-90.0,-1.0
171.25,-90.0,-1.0
172.5,-90.0,0.0
173.75,-90.0,0.0
175.0,-90.0,0.0
176.25,-90.0,0.0
177.5,-90.0,0.0
178.75,-90.0,0.0
180.0,-90.0,0.0
181.25,-90.0,0.0
182.5,-90.0,0.0
183.75,-90.0,0.0
185.0,-90.0,0.0
186.25,-90.0,0.0
187.5,-90.0,0.0
188.75,-90.0,1.0
190.0,-90.0,1.0
191.25,-90.0,1.0
192.5,-90.0,1.0
193.75,-90.0,1.0
195.0,-90.0,1.0
196.25,-90.0,1.0
197.5,-90.0,1.0
198.75,-90.0,1.0
200.0,-90.0,1.0
201.25,-90.0,1.0
202.5,-90.0,1.0
203.75,-90.0,2.0
205.0,-90.0,2.0
206.25,-90.0,2.0
207.5,-90.0,2.0
208.75,-90.0,2.0
210.0,-90.0,2.0
211.25,-90.0,2.0
212.5,-90.0,2.0
213.75,-90.0,2.0
215.0,-90.0,2.0
216.25,-90.0,2.0
217.5,-90.0,2.0
218.75,-90.0,3.0
220.0,-90.0,3.0
221.25,-90.0,3.0
222.5,-90.0,3.0
223.75,-90.0,3.0
225.0,-90.0,3.0
226.25,-90.0,3.0
227.5,-90.0,3.0
228.75,-90.0,3.0
230.0,-90.0,3.0
231.25,-90.0,3.0
232.5,-90.0,3.0
233.75,-90.0,4.0
235.0,-90.0,4.0
236.25,-90.0,4.0
237.5,-90.0,4.0
238.75,-90.0,4.0
240.0,-90.0,4.0
241.25,-90.0,4.0
242.5,-90.0,4.0
243.75,-90.0,4.0
245.0,-90.0,4.0
246.25,-90.0,4.0
247.5,-90.0,4.0
248.75,-90.0,5.0
250.0,-90.0,5.0
251.25,-90.0,5.0
252.5,-90.0,5.0
253.75,-90.0,5.0
255.0,-90.0,5.0
256.25,-90.0,5.0
257.5,-90.0,5.0
258.75,-90.0,5.0
260.0,-90.0,5.0
261.25,-90.0,5.0
262.5,-90.0,5.0
263.75,-90.0,6.0
265.0,-90.0,6.0
266.25,-90.0,6.0
267.5,-90.0,6.0
268.75,-90.0,6.0
270.0,-90.0,6.0
